"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","64/496","481/9772",5.95713449287586e-13,1.68424438844036e-11,1.46505604274555e-11,"67273/12859/19225/67126/84682/66734/68375/66142/54405/15108/104130/66377/67305/66576/22417/67680/595136/230075/12861/14371/68202/68198/53857/66091/12862/333182/623286/12865/110323/15461/13198/407790/66043/75406/66594/66916/12857/67184/22186/12866/75600/22272/66152/19175/71679/11951/407785/73710/70405/17993/102631912/66218/22422/12864/28080/69875/68342/78330/17991/12868/22423/67264/225887/17995",64
"mmu04260","Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","23/496","89/9772",5.21321455737659e-11,1.35109143945343e-09,1.17525977302262e-09,"12859/21956/98660/84682/66142/12373/66576/22004/12861/12862/333182/12865/110323/66594/12857/21924/12866/11936/22272/17896/66152/12864/12868",23
"mmu04723","Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)","30/496","153/9772",1.12595293900684e-10,2.69362587716251e-09,2.34307615647577e-09,"67273/19225/68375/54405/104130/66377/595136/230075/68202/68198/66066/14709/66091/623286/407790/75406/66916/67184/14710/407785/17993/102631912/66218/69875/68342/78330/17991/67264/225887/17995",30
"mmu04820",NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","30/496","232/9772",2.05259467831485e-06,4.55969246397083e-05,3.96629197238282e-05,"12825/12835/13007/21956/14268/98660/17868/98932/14118/242702/22004/12843/11468/21955/21953/12834/12833/244431/21924/56419/665033/16399/17896/17898/12842/13003/11472/20969/11474/18175",30
"mmu03010","Genetic Information Processing","Translation","mmu03010","Ribosome - Mus musculus (house mouse)","30/496","265/9772",2.96767707189175e-05,0.000615298379572222,0.000535223163141178,"66489/665522/66292/100040416/100042335/19951/24030/67994/67945/621697/20054/22186/94065/66242/19944/56040/16785/67115/56282/216767/629595/26961/121022/54217/68611/68463/68565/66419/353242/94063",30
"mmu04512","Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","15/496","89/9772",3.64890733964063e-05,0.000709256364142647,0.000616953412031343,"329278/12835/16780/14268/21923/329872/20750/12843/12834/12833/665033/15366/16399/12842/20969",15
"mmu04110","Cellular Processes","Cell growth and death","mmu04110","Cell cycle - Mus musculus (house mouse)","21/496","157/9772",4.25410064532251e-05,0.000778250176879588,0.000676968337986306,"13555/12235/76464/12428/107995/434175/18817/12447/12534/17218/71988/22137/69010/12442/66156/20877/268697/72415/67052/12532/67849",21
"mmu00480","Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism - Mus musculus (house mouse)","13/496","73/9772",6.64962779934949e-05,0.00114890791422094,0.000999388505516268,"14859/66447/14863/67305/69049/68396/66116/23887/625249/14860/100042295/20135/14869",13
"mmu01230","Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids - Mus musculus (house mouse)","12/496","79/9772",0.000585386569516522,0.00958185384840201,0.0083348669454707,"11898/236539/257635/109900/12035/12036/21351/21881/18746/11676/56012/76282",12
"mmu04974","Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","14/496","108/9772",0.00108202614309204,0.0168255065250813,0.0146358273039292,"12825/12835/98660/329941/12819/12843/12834/12833/12822/56373/665033/12816/11936/12842",14
"mmu04114","Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis - Mus musculus (house mouse)","15/496","123/9772",0.00137261423772057,0.0203277632348141,0.017682298701463,"12235/20878/107995/434175/18817/12447/12534/69010/75600/12442/66156/268697/70405/72415/12532",15
"mmu00051","Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism - Mus musculus (house mouse)","7/496","36/9772",0.00192226194192457,0.0271737938153883,0.0236373836877806,"18639/16548/11677/14187/11997/11676/14120",7
"mmu04914","Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","12/496","93/9772",0.00250432714231364,0.0327984373572564,0.028530033510966,"12235/20878/12428/434175/110033/18817/12534/69010/12442/66156/268697/12532",12
"mmu04814","Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","20/496","198/9772",0.00253106912081722,0.0327984373572564,0.028530033510966,"21956/98932/16571/73804/22004/74376/11468/53857/110033/21955/21953/17904/216459/21924/70218/17896/17898/73710/100502766/19348",20
