"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032543","GO:0032543","mitochondrial translation","30/1061","130/28905",4.56491182208668e-16,6.52782390558395e-14,5.69485490787273e-14,"107733/99045/66292/75593/64658/101122/24030/67308/67994/52443/66047/102060/234384/94065/66242/66121/68836/56282/216767/64656/64660/68572/121022/68611/67267/68463/68565/66419/353242/94063",30
"GO:0140053","GO:0140053","mitochondrial gene expression","32/1061","167/28905",1.37927649414851e-14,1.71284362523337e-12,1.49427988050272e-12,"107733/99045/15108/66292/75593/64658/101122/24030/67308/67994/52443/103172/66047/102060/234384/94065/66242/66121/68836/56282/216767/64656/64660/68572/121022/68611/67267/68463/68565/66419/353242/94063",32
"GO:0000280","GO:0000280","nuclear division","54/1061","454/28905",3.39978181405086e-14,4.01089259512651e-12,3.49909123019814e-12,"381318/66977/12316/72119/215387/68612/12235/20878/51944/76464/56742/69928/73804/22417/107995/52276/54392/23980/19362/434175/110033/17345/18817/12447/68953/12534/54427/234396/108912/102632837/22137/67629/12442/21973/20698/70385/11799/208092/54141/66156/20877/70218/60530/268465/268697/60411/26934/72415/18140/67052/74377/100502766/66468/67849",54
"GO:0050000","GO:0050000","chromosome localization","25/1061","119/28905",1.22226287044433e-12,1.22720393311208e-10,1.07060920186064e-10,"108000/381318/66977/51944/76464/67037/56742/73804/52276/434175/110033/68953/67629/70385/11799/208092/54141/20877/268697/26934/72415/67052/100502766/66468/67849",25
"GO:0051983","GO:0051983","regulation of chromosome segregation","26/1061","130/28905",1.45121969365097e-12,1.4267303613206e-10,1.24467548725196e-10,"66977/215387/68612/12235/76464/73804/107995/52276/21335/66993/54392/434175/12055/17345/18817/12534/108912/22137/67629/70385/11799/66156/20877/268697/223970/67052",26
"GO:0031577","GO:0031577","spindle checkpoint signaling","16/1061","55/28905",7.51965313155327e-11,7.24188635261222e-09,6.31780094468418e-09,"66977/12235/20878/76464/107995/52276/434175/18817/56419/22137/67629/70385/11799/20877/268697/67052",16
"GO:1905818","GO:1905818","regulation of chromosome separation","18/1061","73/28905",1.03579691463172e-10,9.77585128029419e-09,8.52842470131508e-09,"66977/215387/68612/12235/76464/107995/52276/54392/434175/18817/22137/67629/70385/11799/66156/20877/268697/67052",18
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","26/1061","161/28905",2.20207891118794e-10,1.99838661190305e-08,1.74338676551741e-08,"66977/72119/72080/20878/16571/56742/16765/107995/52276/21335/12615/434175/18817/68953/12534/218977/70385/11799/208092/20877/26886/268697/26934/18140/67052/100502766",26
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","14/1061","49/28905",1.50652569691102e-09,1.20496521419036e-07,1.05120820706851e-07,"66977/12235/76464/107995/52276/434175/18817/22137/67629/70385/11799/20877/268697/67052",14
"GO:0010639","GO:0010639","negative regulation of organelle organization","41/1061","390/28905",1.82179391562369e-09,1.38662023997229e-07,1.20968353208901e-07,"17926/66977/72119/12235/227753/76464/56292/666244/19241/16765/107995/52276/76571/19240/12391/434175/56312/23991/18817/80986/78688/56419/235180/22137/67629/56295/21973/69535/70385/11799/20877/268697/20259/12257/26425/22042/12449/67052/100502766/52538/14297",41
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","14/1061","51/28905",2.69321679843907e-09,1.86901324585794e-07,1.63052181094353e-07,"66977/12235/76464/107995/52276/434175/18817/22137/67629/70385/11799/20877/268697/67052",14
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","42/1061","414/28905",3.36348128233376e-09,2.267466881619e-07,1.97813162333945e-07,"13007/21956/12316/72119/17868/98932/20878/227753/12373/242702/107995/52276/12615/76571/69871/12391/21955/18817/68953/66311/20054/50783/234384/218977/56419/68680/12442/16785/16669/11799/208092/54141/20877/26886/60411/11472/26934/432995/18140/67052/100502766/18175",42
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","20/1061","119/28905",1.2945787216833e-08,7.93391816574478e-07,6.92152751948513e-07,"66977/68612/12235/76464/107995/52276/23980/434175/17345/18817/108912/22137/67629/20698/70385/11799/66156/20877/268697/67052",20
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","39/1061","442/28905",4.86250588302014e-07,2.63749025999679e-05,2.30093896049507e-05,"108000/76843/66977/13555/68612/12235/76464/12428/404710/107995/52276/21335/66993/14235/434175/12055/18817/12447/68953/12534/19186/22137/67629/12442/118454/70385/11799/12189/68067/66156/20877/268697/20135/12449/11629/67052/12532/68431/67849",39
"GO:0000281","GO:0000281","mitotic cytokinesis","14/1061","81/28905",1.36346835224212e-06,7.31159903889837e-05,6.37861809284562e-05,"404710/16765/52276/12615/18817/68953/80986/68743/11799/208092/20877/26934/19348/74107",14
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","31/1061","325/28905",1.41345256368676e-06,7.49447488543576e-05,6.53815845840204e-05,"266645/66447/19225/11898/19215/15108/236539/26922/13118/13119/13117/257635/109900/16832/12035/11677/11812/12036/23887/338521/94180/18746/19659/20698/12189/11686/72562/12116/16891/329008/14869",31
"GO:0006941","GO:0006941","striated muscle contraction","21/1061","178/28905",2.62422185921076e-06,0.000131741520783145,0.000114930925995222,"57814/21956/98660/17868/11435/68949/227753/66240/12373/16511/12391/21955/56188/20266/21953/74166/20855/21924/17896/56012/11474",21
"GO:0030199","GO:0030199","collagen fibril organization","12/1061","63/28905",2.66487720113102e-06,0.000132374268548813,0.000115482933336548,"12825/56429/20319/100952/12843/237360/12833/12822/12306/14230/216725/12842",12
"GO:1903046","GO:1903046","meiotic cell cycle process","25/1061","242/28905",3.54827952661993e-06,0.000172621969959994,0.000150594912952909,"66977/12316/215387/20878/76464/69928/22417/107995/19362/18817/12447/54427/17218/234396/102632837/22137/12442/21973/11799/60530/268465/72415/67052/74377/12532",25
"GO:0051383","GO:0051383","kinetochore organization","7/1061","20/28905",4.48494173946911e-06,0.000213782222914694,0.000186502999926249,"66977/12615/66311/218977/26886/60411/67052",7
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","31/1061","347/28905",5.49425249573029e-06,0.000251722111916032,0.000219601650595822,"108000/76843/66977/13555/68612/12235/76464/107995/52276/66993/434175/12055/18817/12447/12534/19186/22137/67629/118454/70385/11799/12189/68067/66156/20877/268697/20135/11629/67052/12532/67849",31
"GO:0051235","GO:0051235","maintenance of location","32/1061","366/28905",6.1064929668134e-06,0.000274443241051356,0.000239423498678769,"15559/66915/12316/14118/67885/227753/666244/19241/58869/12373/65959/24047/21335/19240/13198/103172/13057/17751/74166/20288/78688/68680/20259/12257/223920/105785/432995/83433/66968/66400/14297/56327",32
"GO:0060048","GO:0060048","cardiac muscle contraction","17/1061","134/28905",8.73914298189177e-06,0.00038542070777147,0.000336239923287543,"57814/21956/98660/17868/68949/227753/66240/12373/16511/12391/56188/20266/21953/74166/20855/21924/17896",17
"GO:0070585","GO:0070585","protein localization to mitochondrion","15/1061","108/28905",9.66415086610595e-06,0.000407188642296018,0.000355230207117861,"67067/30059/52838/67749/11983/100038882/12017/66169/66437/13198/30055/67184/78688/66148/12257",15
"GO:0030282","GO:0030282","bone mineralization","17/1061","138/28905",1.29709398933937e-05,0.000541680224397564,0.000472560278743015,"19225/22417/100038882/20750/231633/14371/12843/17313/19242/13115/12833/102657/21922/237928/66695/11474/68431",17
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","29/1061","329/28905",1.40571070174456e-05,0.000576830330568051,0.000503225130848785,"11905/11807/19225/67701/21857/20713/20319/11983/20731/23980/76571/69871/14080/11812/68845/15461/67866/78688/16426/12955/78709/624219/11799/66222/14938/20715/66968/74116/56327",29
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","18/1061","155/28905",1.65797503985718e-05,0.000663049509583563,0.000578442496064357,"108000/76843/75083/12428/66993/14235/434175/18817/12534/12442/11799/12189/68067/20877/268697/67052/12532/68431",18
"GO:0030261","GO:0030261","chromosome condensation","9/1061","43/28905",2.14028086937381e-05,0.000834709539055785,0.000728198214886556,"215387/54392/243529/12534/21973/14957/50708/268697/67849",9
"GO:0070252","GO:0070252","actin-mediated cell contraction","14/1061","102/28905",2.17721782307272e-05,0.00084215499238362,0.000734693607078292,"57814/21956/98660/227753/66240/12373/16511/12391/56188/20266/17904/216459/20855/21924",14
"GO:0002082","GO:0002082","regulation of oxidative phosphorylation","7/1061","27/28905",4.10200598206361e-05,0.00151813517350997,0.00132441678401925,"56312/12865/102060/66148/12866/67267/11474",7
"GO:0042989","GO:0042989","sequestering of actin monomers","5/1061","12/28905",4.21436125725379e-05,0.00151813517350997,0.00132441678401925,"227753/666244/19241/19240/20259",5
"GO:1905907","GO:1905907","negative regulation of amyloid fibril formation","5/1061","12/28905",4.21436125725379e-05,0.00151813517350997,0.00132441678401925,"12955/56612/14976/83433/67199",5
"GO:1903715","GO:1903715","regulation of aerobic respiration","8/1061","37/28905",4.80021239583931e-05,0.00169046285790789,0.00147475496308936,"56312/12865/102060/66148/12866/67267/11474/56327",8
"GO:0044282","GO:0044282","small molecule catabolic process","29/1061","353/28905",5.128399594962e-05,0.00177947924181071,0.00155241260184956,"266645/67885/15108/74246/64059/11409/257635/16548/17766/14080/12035/110826/12036/13115/14317/18746/235674/14635/67880/80879/56012/56727/26912/66968/64385/52538/11474/26358/14544",29
"GO:0007006","GO:0007006","mitochondrial membrane organization","14/1061","111/28905",5.67366447049553e-05,0.00194014656784554,0.00169257831762838,"67067/78617/30059/11983/66098/103172/30055/67184/78688/224904/66400/52538/14297/107197",14
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","24/1061","268/28905",5.84672209058314e-05,0.0019698409506564,0.00171848361227672,"18639/230904/74246/16548/17766/56312/66422/21946/233038/192188/12833/18746/14635/15366/11676/56012/50773/64705/109901/381101/11474/26358/14544/56327",24
"GO:0008217","GO:0008217","regulation of blood pressure","21/1061","226/28905",9.84481158126731e-05,0.00303644874849676,0.00264898920497671,"19701/98660/19225/50706/100952/12843/71660/109648/13648/16619/16615/18050/18048/16612/13057/17227/276952/18436/18654/18976/223780",21
"GO:0006000","GO:0006000","fructose metabolic process","5/1061","14/28905",0.000100182676196439,0.0030698834348766,0.00267815752976264,"18639/16548/11677/14120/26358",5
"GO:0051882","GO:0051882","mitochondrial depolarization","7/1061","31/28905",0.00010684552072474,0.00323207700192339,0.00281965473383576,"17926/11983/11657/12833/12424/18053/12257",7
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","18/1061","179/28905",0.000112029201457506,0.00336729809985969,0.00293762123298898,"17926/72119/227753/666244/19241/16765/100952/19240/12391/23991/80986/56419/12955/20259/56612/14976/83433/67199",18
"GO:0030239","GO:0030239","myofibril assembly","11/1061","78/28905",0.000126855205083732,0.00376496674710773,0.00328454622365094,"13007/21956/17868/98932/12373/242702/12391/21955/16669/11472/18175",11
"GO:0006626","GO:0006626","protein targeting to mitochondrion","11/1061","81/28905",0.000178929483196258,0.00511738321941297,0.00446439048663836,"67067/30059/52838/67749/11983/66169/66437/30055/67184/78688/66148",11
"GO:0055002","GO:0055002","striated muscle cell development","11/1061","81/28905",0.000178929483196258,0.00511738321941297,0.00446439048663836,"13007/21956/17868/98932/12373/242702/12391/21955/16669/11472/18175",11
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","6/1061","24/28905",0.000183851489271004,0.00516425701113016,0.00450528304848932,"76464/12615/12534/22137/70385/20877",6
"GO:1901380","GO:1901380","negative regulation of potassium ion transmembrane transport","6/1061","24/28905",0.000183851489271004,0.00516425701113016,0.00450528304848932,"57814/66240/12373/16511/12391/11472",6
"GO:0051382","GO:0051382","kinetochore assembly","5/1061","16/28905",0.000205581032917497,0.0056059258438499,0.00489059367513121,"12615/66311/218977/26886/60411",5
"GO:1902600","GO:1902600","proton transmembrane transport","13/1061","113/28905",0.000263082540942315,0.00704269336652535,0.00614402555324626,"98660/67126/57423/11958/57816/66144/66043/75406/11936/69602/71679/11951/28080",13
"GO:0006631","GO:0006631","fatty acid metabolic process","33/1061","465/28905",0.000266239215264787,0.00705833065637377,0.00615766748019269,"66447/19225/67885/19215/15108/14077/26922/13118/13119/13117/67103/11409/14080/110826/51798/11812/23887/625249/338521/94180/235674/20698/69183/12189/11686/407785/66968/66400/64385/52538/16891/100043108/14869",33
"GO:0072677","GO:0072677","eosinophil migration","6/1061","26/28905",0.000295349491104477,0.00774307915845571,0.00675504011526088,"56221/16854/20307/217303/20304/20305",6
"GO:0030049","GO:0030049","muscle filament sliding","4/1061","10/28905",0.000317457140727165,0.00818623085842345,0.00714164439104942,"21956/17904/216459/21924",4
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","31/1061","436/28905",0.000390057330796463,0.00984321146539311,0.00858718953416813,"14373/19225/269344/12235/68949/20319/13038/22417/67397/76571/66437/56312/68845/13198/244551/21672/67184/17390/78688/16854/56295/12189/268373/60530/18053/60597/83433/52538/14297/15201/14869",31
"GO:0010043","GO:0010043","response to zinc ion","7/1061","38/28905",0.000409998183597382,0.0102369387745823,0.00893067611277839,"11898/16548/17751/17750/17748/94045/12925",7
"GO:0019320","GO:0019320","hexose catabolic process","7/1061","38/28905",0.000409998183597382,0.0102369387745823,0.00893067611277839,"74246/16548/18746/14635/56012/11474/26358",7
"GO:0048144","GO:0048144","fibroblast proliferation","15/1061","152/28905",0.000495415172832048,0.0122401267046829,0.0106782515345612,"12825/14268/13555/12428/56312/15461/12534/19944/12306/20698/217303/18053/268697/17993/70445",15
"GO:0031589","GO:0031589","cell-substrate adhesion","27/1061","369/28905",0.000583359737331816,0.0139739827434967,0.0121908625845831,"12825/329278/17926/16780/14268/50706/329872/22417/20750/100952/231830/109648/19242/57278/23991/244667/12552/19944/12306/16399/245827/16407/12842/78473/11472/16852/11474",27
"GO:0031032","GO:0031032","actomyosin structure organization","19/1061","223/28905",0.000614635748170468,0.0145680351740765,0.0127091122262328,"17926/13007/21956/17868/98932/404710/12373/16765/242702/22417/74376/12391/21955/12797/68743/16669/11472/26934/18175",19
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","10/1061","79/28905",0.000617420435434476,0.0145680351740765,0.0127091122262328,"14268/13555/12428/15461/12306/20698/18053/268697/17993/70445",10
"GO:0032963","GO:0032963","collagen metabolic process","13/1061","124/28905",0.000649960091200446,0.0152595107978851,0.0133123535830581,"14268/13038/26561/22417/100952/12843/52377/12833/17390/76293/216725/17534/12842",13
"GO:1990000","GO:1990000","amyloid fibril formation","6/1061","30/28905",0.000672043457650901,0.0156225274712049,0.013629048290758,"227753/12955/56612/14976/83433/67199",6
"GO:0055074","GO:0055074","calcium ion homeostasis","26/1061","354/28905",0.000690960494851875,0.0159835420353235,0.013943996364116,"15559/67885/21939/12373/65959/24047/20750/14371/66437/70103/109648/12391/56188/13115/13198/13057/244667/74166/78688/20855/56506/20307/18436/20304/69029/14297",26
"GO:0019227","GO:0019227","neuronal action potential propagation","4/1061","12/28905",0.000705490047693091,0.016005805457037,0.013963418909553,"98660/242653/20266/319504",4
"GO:0098870","GO:0098870","action potential propagation","4/1061","12/28905",0.000705490047693091,0.016005805457037,0.013963418909553,"98660/242653/20266/319504",4
"GO:0052547","GO:0052547","regulation of peptidase activity","30/1061","434/28905",0.0007584210015359,0.0170428033630853,0.0148680929173278,"11905/19225/75083/67701/227753/21857/20713/20319/13038/20731/23980/66437/14080/52377/68845/17314/67866/67184/78688/16426/19186/12955/78709/11799/18436/18053/66222/20715/70186/74116",30
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","15/1061","159/28905",0.000793685828433678,0.0177507271297561,0.0154856835869499,"72119/56742/16765/21335/12391/23991/18817/68953/80986/56419/208092/54141/66468/14544/56327",15
"GO:0009166","GO:0009166","nucleotide catabolic process","16/1061","176/28905",0.000806929585735626,0.0178943363948342,0.0156109678991304,"18639/74246/16548/56312/66422/12833/18746/14635/11676/56012/50773/64705/381101/11474/14544/56327",16
"GO:0032886","GO:0032886","regulation of microtubule-based process","21/1061","266/28905",0.000884306706237013,0.0195002025548246,0.0170119209448744,"72119/56742/16765/21335/69871/12391/23991/18817/68953/80986/68270/56419/235180/208092/54141/26425/12449/100502766/66468/14544/56327",21
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","9/1061","70/28905",0.00101953731869866,0.0216424337954547,0.0188807973531465,"24047/56744/56221/23991/12777/20307/20304/20305/83433",9
"GO:0048245","GO:0048245","eosinophil chemotaxis","5/1061","22/28905",0.00103190243779981,0.0216424337954547,0.0188807973531465,"56221/16854/20307/20304/20305",5
"GO:0060307","GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","5/1061","22/28905",0.00103190243779981,0.0216424337954547,0.0188807973531465,"57814/66240/16511/12391/20266",5
"GO:0072523","GO:0072523","purine-containing compound catabolic process","15/1061","164/28905",0.00108989445925103,0.0226573213797604,0.0197661823794611,"18639/74246/16548/17766/56312/12833/18746/14635/11676/56012/50773/381101/11474/14544/56327",15
"GO:0006690","GO:0006690","icosanoid metabolic process","14/1061","149/28905",0.00121646030441126,0.024958592071812,0.0217738043503545,"66447/19225/19215/13118/13119/13117/67103/23887/625249/20698/11686/64385/100043108/14869",14
"GO:0032507","GO:0032507","maintenance of protein location in cell","9/1061","72/28905",0.00125024830390785,0.0255407867798318,0.0222817093487519,"227753/666244/19241/19240/103172/20259/12257/105785/56327",9
"GO:0032095","GO:0032095","regulation of response to food","5/1061","23/28905",0.00127901705211058,0.0259042123129178,0.0225987607445425,"66208/14118/109648/17751/12424",5
"GO:0035930","GO:0035930","corticosteroid hormone secretion","5/1061","23/28905",0.00127901705211058,0.0259042123129178,0.0225987607445425,"19701/78896/114679/18976/12257",5
"GO:0010959","GO:0010959","regulation of metal ion transport","29/1061","431/28905",0.00138924555413293,0.0273160407081388,0.0238304357991838,"57814/98660/19225/58237/68949/66240/12373/67149/16511/57816/11517/12391/56188/20266/69563/13057/74166/78688/16854/20855/11936/118454/18436/94045/20304/11472/12257/12805/83433",29
"GO:0006473","GO:0006473","protein acetylation","8/1061","60/28905",0.00151193364308649,0.0293613780317907,0.0256147822313678,"56292/68917/56312/14533/100503924/71988/20698/72107",8
"GO:0051900","GO:0051900","regulation of mitochondrial depolarization","5/1061","24/28905",0.00156721851601574,0.0295494554048664,0.0257788603938016,"17926/11657/12424/18053/12257",5
"GO:0043267","GO:0043267","negative regulation of potassium ion transport","6/1061","35/28905",0.00157171292787062,0.0295494554048664,0.0257788603938016,"57814/66240/12373/16511/12391/11472",6
"GO:0015850","GO:0015850","organic hydroxy compound transport","23/1061","317/28905",0.00160217813712318,0.0298841052532976,0.0260708079645882,"19701/11807/78896/80976/20750/11812/20288/16854/20618/330962/12306/80879/114679/217303/18436/18976/12257/223920/18546/106407/83433/54219/16891",23
"GO:1901342","GO:1901342","regulation of vasculature development","23/1061","317/28905",0.00160217813712318,0.0298841052532976,0.0260708079645882,"329278/21939/20319/20193/22417/100952/56221/19242/11489/16854/18746/20698/12189/20692/18053/20304/18654/105940408/223780/109901/12741/56299/68545",23
"GO:0051302","GO:0051302","regulation of cell division","16/1061","188/28905",0.00161766741387155,0.0300542225435427,0.0262192178021203,"15559/12316/20878/20319/52276/19242/23991/18817/67903/70045/11799/20877/70218/18654/26934/19348",16
"GO:0006090","GO:0006090","pyruvate metabolic process","13/1061","137/28905",0.00163927357959637,0.0303362040082951,0.0264652176255992,"18639/74246/16548/16832/56312/12833/18746/14635/11676/80879/56012/11474/56327",13
"GO:0006096","GO:0006096","glycolytic process","11/1061","105/28905",0.0016596934610366,0.0305941150102801,0.026690218446193,"18639/74246/16548/56312/12833/18746/14635/11676/56012/11474/56327",11
"GO:0060191","GO:0060191","regulation of lipase activity","8/1061","61/28905",0.00168510961344933,0.0308218304878582,0.0268888767776432,"15559/11807/11812/15461/624219/18673/20304/66968",8
"GO:0009636","GO:0009636","response to toxic substance","13/1061","138/28905",0.00175034439733399,0.0313740703642172,0.0273706492665604,"14859/11898/21743/56312/20266/12833/21672/17751/17750/17748/118454/20304/26358",13
"GO:0001558","GO:0001558","regulation of cell growth","30/1061","458/28905",0.00175233606309016,0.0313740703642172,0.0273706492665604,"14268/22403/20319/12904/83409/56742/21923/19415/68567/12391/23991/13115/67866/67184/13057/17751/244667/12955/20698/11858/12189/18673/109075/26425/27281/20357/381101/74116/14297/240514",30
"GO:0006457","GO:0006457","protein folding","15/1061","172/28905",0.00175519274764851,0.0313740703642172,0.0273706492665604,"15504/52838/12017/69253/12955/14230/73635/12467/268373/56612/14976/69191/67199/56327/14227",15
"GO:1903115","GO:1903115","regulation of actin filament-based movement","7/1061","49/28905",0.00196734119705498,0.0343847522551943,0.0299971595387214,"21956/98660/12373/12391/56188/20855/21924",7
"GO:1905952","GO:1905952","regulation of lipid localization","16/1061","192/28905",0.00200733956282619,0.0348258654300617,0.0303819854110418,"19701/11807/78896/14077/20750/66437/11812/20288/68680/12306/18976/12257/83433/66968/16891/14297",16
"GO:0035825","GO:0035825","homologous recombination","8/1061","64/28905",0.00230020368267371,0.0381948393094736,0.0333210685893201,"69928/19362/234396/102632837/21973/12189/268465/74377",8
"GO:0010466","GO:0010466","negative regulation of peptidase activity","19/1061","251/28905",0.00244998272738694,0.0402838623363727,0.0351435263040906,"11905/19225/67701/21857/20713/20319/20731/23980/14080/68845/67866/78688/16426/12955/78709/11799/66222/20715/74116",19
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","23/1061","328/28905",0.00247564986510279,0.0405645545604864,0.0353884013977231,"15559/67885/21939/12373/65959/24047/20750/14371/66437/109648/12391/56188/13198/13057/244667/74166/78688/20855/20307/18436/20304/69029/14297",23
"GO:0002548","GO:0002548","monocyte chemotaxis","8/1061","65/28905",0.00254025366140811,0.0413360587178789,0.0360614594183924,"66166/24047/56221/16854/20307/20304/20305/11629",8
"GO:0006260","GO:0006260","DNA replication","20/1061","271/28905",0.00257000692653077,0.0416765040766279,0.036358462975807,"76843/70024/69270/12428/69928/69714/15461/12447/12534/272551/17218/71988/22036/68026/21877/12189/268465/72107/110749/223970",20
"GO:1990868","GO:1990868","response to chemokine","9/1061","80/28905",0.00262725881121802,0.0420272350174163,0.0366644396455795,"24047/56744/56221/23991/12777/20307/20304/20305/83433",9
"GO:0032098","GO:0032098","regulation of appetite","5/1061","27/28905",0.00271770032549625,0.0428924007893539,0.0374192077909376,"66208/14118/109648/12424/18976",5
"GO:1903579","GO:1903579","negative regulation of ATP metabolic process","5/1061","27/28905",0.00271770032549625,0.0428924007893539,0.0374192077909376,"18639/66437/56312/12257/11474",5
"GO:0006839","GO:0006839","mitochondrial transport","15/1061","180/28905",0.00272975876791767,0.042939105419345,0.0374599527765825,"67067/30059/52838/11983/66169/103172/12833/30055/67184/78688/66148/69029/66400/52538/14297",15
"GO:0034381","GO:0034381","plasma lipoprotein particle clearance","6/1061","39/28905",0.00278972307261728,0.0437365554142225,0.0381556458716775,"11807/11812/20288/12306/83433/16891",6
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","9/1061","81/28905",0.00286144722984672,0.0445969950204217,0.0389062909235608,"12316/269344/66993/14371/244667/118454/18053/12950/13003",9
